review_id,product_id,user_id,rating,review_text,review_date,title,predicted_label,final_label
10001,134,U_guest_1,1,I would never buy this product,2026-05-14,Terrible product,0,0
10002,134,U_guest_2,1,Totally would buy again,2026-05-14,I love this product,0,1
10003,134,U_guest_3,5,Would not recommend,2026-05-14,This product terrible,0,0
10004,132,U_guest_4,4,This product sucks,2026-05-14,Terrible,1,0
10005,133,U_guest_5,5,I love it,2026-05-14,Beautiful Product,1,1
10006,133,U_guest_6,2,Bad,2026-05-14,Product sucks. I would never buy this,0,0
10007,132,U_guest_7,5,Love it,2026-05-14,Good,0,0
10008,132,U_guest_8,2,Bad,2026-05-14,Product sucks,0,0
10009,133,U_guest_9,2,sucks,2026-05-14,sucks,0,0
10010,132,U_guest_10,1,product sucks,2026-05-14,Sucks,0,0
10011,132,U_guest_11,1,Don't like it,2026-05-14,Never buy,0,0
10012,132,U_guest_12,1,product sucks,2026-05-14,sucks,0,0
